uid,lat,lon,aqi,station_name,recorded_at,etl_insert_ts,etl_update_ts
-411883,50.741897,31.384233,40,"Street Nezalezhnosti, 46",2023-08-19T04:35:11+09:00,2023-08-18 14:31:07.638482,2023-08-18 14:31:07.638482
-411736,-7.251183,-78.03668,100,UPCH_CAJ_Jose_Sab_Udias_3,2023-08-22T05:42:07+09:00,2023-08-18 14:31:07.699887,2023-08-21 13:51:39.831287
-411619,6.605,0.455,54,EPA Volta (Oxygen City AQ Project - LDEO),2023-08-22T05:32:54+09:00,2023-08-21 13:51:39.832293,2023-08-21 13:51:39.832293
-411583,6.609968,0.481524,63,Eclectic Love GH (Oxygen City AQ Project - LDEO),2023-08-19T04:33:22+09:00,2023-08-18 14:31:07.699887,2023-08-18 14:31:07.699887
-411325,17.083727,104.797554,77,AQSEA_LAO_028,2023-08-22T05:42:40+09:00,2023-08-18 14:31:07.699887,2023-08-21 13:51:39.833311
-410383,-12.63506,13.321333,106,Benguela,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.699887,2023-08-21 13:51:39.833311
-410377,47.815861,31.189776,53,"Street Parkova, 5",2023-08-19T04:34:08+09:00,2023-08-18 14:31:07.699887,2023-08-18 14:31:07.699887
-409927,-22.09546,14.260373,1,SNC UNAM,2023-08-22T05:42:07+09:00,2023-08-18 14:31:07.699887,2023-08-21 13:51:39.833311
-409831,-8.345687,-74.58944,94,UPCH_UCA_Yarin_UNIA_23,2023-08-22T05:41:54+09:00,2023-08-18 14:31:07.699887,2023-08-21 13:51:39.833311
-409396,46.174775,30.282794,63,"Street Tsentralna, 56",2023-08-19T04:35:38+09:00,2023-08-18 14:31:07.699887,2023-08-18 14:31:07.699887
-409210,60.170574,-134.70367,14,AQSU-E63B(Carcross),2023-08-19T04:34:42+09:00,2023-08-18 14:31:07.699887,2023-08-18 14:31:07.699887
-408889,40.491127,-78.012668,85,Huntingdon Air Quality,2023-08-22T05:32:01+09:00,2023-08-18 14:31:07.699887,2023-08-21 13:51:39.833311
-408541,60.265038,-134.30074,28,AQSU-374A (Tagish Firehall),2023-08-22T05:41:06+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-408442,-11.869559,-77.068375,101,UPCH_LIM_Puent_Estad_17,2023-08-22T05:40:57+09:00,2023-08-18 14:31:07.699887,2023-08-21 13:51:39.833311
-408130,-12.043353,-76.97127,104,UPCH_LIM_Santa_Teatr_5,2023-08-19T04:34:21+09:00,2023-08-18 14:31:07.699887,2023-08-18 14:31:07.699887
-408100,-12.16687,-76.91998,105,UPCH_LIM_Villa_Parqu_4,2023-08-22T05:41:50+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-407992,62.08972,-136.28635,30,AQSU-FFF9 (Carmacks),2023-08-22T05:42:01+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-407722,60.760788,-137.51488,5,AQSU-779A (Haines Junction),2023-08-22T05:41:18+09:00,2023-08-18 14:31:07.699887,2023-08-21 13:51:39.833311
